cls,norm_cs
HISTONE_LYSINE_METHYLTRANSFERASE_INHIBITOR,-0.7709
NOREPINEPHRINE_REPUTAKE_INHIBITOR,-0.7706500000000001
PROTEIN_KINASE_INHIBITOR,-0.769
ALDOSE_REDUCTASE_INHIBITOR,-0.7604
GLUCOSYLCERAMIDASE_INHIBITOR,-0.7416
ATP_SYNTHASE_INHIBITOR,-0.7399
ANGIOTENSIN_CONVERTING_ENZYME_INHIBITOR,-0.7366
MATRIX_METALLOPROTEASE_INHIBITOR,-0.729
SODIUM/GLUCOSE_COTRANSPORTER_INHIBITOR,-0.7273499999999999
CHLORIDE_CHANNEL_BLOCKER,-0.7246
FREE_RADICAL_SCAVENGER,-0.7235499999999999
CYCLOOXYGENASE_INHIBITOR,-0.7223
ANDROGEN_RECEPTOR_ANTAGONIST,-0.7199
PROTEIN_PHOSPHATASE_INHIBITOR,-0.7193
PROTEIN_TYROSINE_KINASE_INHIBITOR,-0.7172
CC_CHEMOKINE_RECEPTOR_ANTAGONIST,-0.7148
IMIDAZOLINE_RECEPTOR_LIGAND,-0.7104
BENZODIAZEPINE_RECEPTOR_ANTAGONIST,-0.7064
FUNGAL_SQUALENE_EPOXIDASE_INHIBITOR,-0.70575
INTERLEUKIN_RECEPTOR_ANTAGONIST,-0.6995499999999999
DOPAMINE_UPTAKE_INHIBITOR,-0.6988
INSULIN_SECRETAGOGUE,-0.6963
STEROIDAL_PROGESTIN,-0.6571
THIAZIDE_DIURETIC,-0.6552
BONE_RESORPTION_INHIBITOR,-0.6547
PORCUPINE_INHIBITOR,-0.6546
ANTIMALARIAL_AGENT,-0.6462
ANTHELMINTIC_AGENT,-0.6378
C-MET_INHIBITOR,-0.6358
TYROSINE_PHOSPHATASE_INHIBITOR,-0.6222
CCK_RECEPTOR_ANTAGONIST,-0.6204000000000001
SRC_INHIBITOR,-0.6151
ADRENERGIC_INHIBITOR,-0.6065
HISTONE_LYSINE_DEMETHYLASE_INHIBITOR,-0.5981
VITAMIN_D_RECEPTOR_AGONIST,-0.5909
TYROSINASE_INHIBITOR,-0.5863
T-TYPE_CALCIUM_CHANNEL_BLOCKER,-0.5775
TGF_BETA_RECEPTOR_INHIBITOR,-0.5701
CANNABINOID_RECEPTOR_ANTAGONIST,-0.5659
HISTONE_DEMETHYLASE_INHIBITOR,-0.5656
ARYL_HYDROCARBON_RECEPTOR_AGONIST,-0.5359
PLATELET_AGGREGATION_INHIBITOR,-0.5107999999999999
HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_INHIBITOR,-0.5062500000000001
SULFONYLUREA,-0.4902
BTK_INHIBITOR,-0.47785
GLUCOSIDASE_INHIBITOR,-0.4656
VASODILATOR,-0.4064
NADH-UBIQUINONE_OXIDOREDUCTASE_(COMPLEX_I)_INHIBITOR,-0.39165
ALCOHOL_DEHYDROGENASE_INHIBITOR,-0.3883
POTASSIUM_CHANNEL_BLOCKER,-0.24465000000000003
DIACYLGLYCEROL_O_ACYLTRANSFERASE_INHIBITOR,-0.19375000000000003
SELECTIVE_SEROTONIN_REUPTAKE_INHIBITOR_(SSRI),-0.17159999999999997
LEUCINE_RICH_REPEAT_KINASE_INHIBITOR,-0.15849999999999997
GLYCINE_RECEPTOR_ANTAGONIST,-0.14940000000000003
CLK_INHIBITOR,-0.13539999999999996
HEDGEHOG_PATHWAY_MODULATOR,-0.10999999999999999
MEDIATOR_RELEASE_INHIBITOR,-0.07355
PPAR_RECEPTOR_ANTAGONIST,-0.03705
SEROTONIN_RECEPTOR_AGONIST,-0.012800000000000034
JNK_INHIBITOR,-0.00269999999999998
ATM_KINASE_INHIBITOR,0.0
VOLTAGE-GATED_SODIUM_CHANNEL_BLOCKER,0.0
CYTOTOXIC_AGENT,0.0
HSP_INDUCER,0.0
DOPAMINE_REUPTAKE_INHIBITOR,0.0
ANTIARRHYTHMIC,0.0
TANKYRASE_INHIBITOR,0.0
FATTY_ACID_SYNTHASE_INHIBITOR,0.0
XANTHINE_OXIDASE_INHIBITOR,0.0
CARBONIC_ANHYDRASE_INHIBITOR,0.008950000000000014
CHOLINESTERASE_INHIBITOR,0.010850000000000026
THROMBIN_INHIBITOR,0.013699999999999934
CASPASE_INHIBITOR,0.013949999999999962
SEROTONIN_RECEPTOR_PARTIAL_AGONIST,0.015949999999999964
CDC_INHIBITOR,0.03225
POTASSIUM_CHANNEL_ACTIVATOR,0.043450000000000044
SEROTONIN_RECEPTOR_ANTAGONIST,0.05990000000000001
MAP_KINASE_INHIBITOR,0.06855
BETA_SECRETASE_INHIBITOR,0.08684999999999998
CDK_INHIBITOR,0.09179999999999999
DNA_ALKYLATING_DRUG,0.09965000000000002
PURINERGIC_RECEPTOR_ANTAGONIST,0.11149999999999999
VITAMIN_B,0.13970000000000005
LAXATIVE,0.15665
BACTERIAL_DNA_INHIBITOR,0.19234999999999997
TRICYCLIC_ANTIDEPRESSANT,0.1995
SIRT_INHIBITOR,0.21109999999999998
IMMUNOSUPPRESSANT,0.21920000000000006
THYROID_HORMONE_STIMULANT,0.25455
"GLUCOSE-DEPENDENT_INSULINOTROPIC_RECEPTOR_(GDIR,_GPR119)_AGONISTS",0.31904999999999994
OTHER_ANTIBIOTIC,0.32450000000000007
PHOSPHOLIPASE_ACTIVATOR,0.3326
PEPTIDASE_INHIBITOR,0.40775
VASOPRESSIN_RECEPTOR_ANTAGONIST,0.4479
DIURETIC,0.4684
HISTAMINE_RECEPTOR_MODULATOR,0.5115
NOREPINEPHRINE_REUPTAKE_INHIBITOR,0.5513
PYRUVATE_DEHYDROGENASE_KINASE_INHIBITOR,0.56655
GABA_RECEPTOR_MODULATOR,0.5685
GAMMA_SECRETASE_INHIBITOR,0.59335
LEUKOTRIENE_INHIBITOR,0.5952
PROTEASE_INHIBITOR,0.6013
SELECTIVE_ESTROGEN_RECEPTOR_MODULATOR_(SERM),0.6088
HCV_INHIBITOR,0.6106
SODIUM/CALCIUM_EXCHANGE_INHIBITOR,0.6312
ANTIVIRAL,0.6774
COAGULATION_FACTOR_INHIBITOR,0.6823
INSULIN_GROWTH_FACTOR_RECEPTOR_INHIBITOR,0.6858
CANNABINOID_RECEPTOR_INVERSE_AGONIST,0.6863
PROTEIN_SYNTHESIS_STIMULANT,0.69045
INOSITOL_MONOPHOSPHATASE_INHIBITOR,0.6982
BREAST_CANCER_RESISTANCE_PROTEIN_INHIBITOR,0.7003
EPHRIN_INHIBITOR,0.7081500000000001
