,pearson_r
RPL14,0.4809664017536184
SFTPB,0.4807653656686985
SLC39A13,0.4807282341231824
AHNAK2,0.4806728930462093
BCAS4,0.48066344131418814
ADAMTS14,0.48062807342502717
PROS1,0.4799167598462384
CAPS,0.4797570532891858
PALM,0.4796741742626411
MYO1G,0.47950556484373796
C1QTNF12,0.4794782556267021
SLC61A1,0.4794542197230444
LINC00511,0.4793272972449587
OSCAR,0.479237839783746
KRT80,0.4791395545495028
WDR54,0.4789551267824261
TRIP10,0.47892863882882686
CDKN2A,0.4786132462697551
SLC67A1,0.47832877467944923
FIBP,0.4779802271968215
SYCE1L,0.4777274168124605
C11orf24,0.47747107018436624
LINC01503,0.47721373247354837
DNAJC17,0.4770566821077901
SACK1A,0.47703402139200074
ISG15,0.47694707857929214
LITATS1,0.4767369079800978
CD164L2,0.4760060142319228
DRAM1,0.47599965496445984
IRF5,0.4759709930557693
GAS5,0.475236615017384
EBI3,0.47523052021799866
PARP12,0.4745747343605462
RNPEPL1,0.47446796873341424
HRAS,0.4742851735649762
TACSTD2,0.4740229015171113
LAD1,0.4740128213216228
RPS3,0.4740052923941598
H2AJ,0.47395095230450957
FUOM,0.47368851053790356
SHPK,0.47351237612138175
B3GNT8,0.4733611882687289
TM4SF1,0.47312323712302423
STAC,0.472977427840669
FN1,0.4729407506047784
CDH6,0.472905098790087
PGAP6,0.4727947731616334
SYN1,0.4725139018167432
TMEM41A,0.4724993298398638
DOK7,0.47193540344252183
LMTK3,0.4716410820812395
PLPP2,0.4715998299724773
TRIM46,0.4714450235259116
ARRDC1,0.4712136324480879
TMPRSS6,0.47108272143630314
CTSC,0.47088086012292507
VKORC1,0.47085096706732205
S1PR2,0.470145161535745
NPM3,0.4700851390876331
GNAI2,0.47007838334297375
RPLP0,0.4698159441412482
KCNK6,0.4697959664088876
BLVRA,0.4692845219756235
PHETA2,0.46890412066420417
ARPC4,0.46888928008719455
RPL37A,0.4688577028330652
LAMTOR2,0.46864178915932625
WDR46,0.4685267650679454
GJB3,0.4684916747663528
C1orf116,0.46843949952520153
BASP1,0.46824942725655755
TNFSF9,0.4680597076972533
HACD1,0.46804939692661
TMEM250,0.46799462055407415
RASSF7,0.4671856509046684
COL8A2,0.4669184339965897
INF2,0.466565949397025
RPS29P11,0.4663523889979143
RPS15,0.46608053950522643
CDC42BPG,0.46605980378855905
PAQR6,0.46602786873647506
TMEM92,0.46591146139067946
MAP7D1,0.4655875696586067
PDLIM2,0.46542659244528156
HPGDS,0.46535647109400236
KLF16,0.4651606337797919
ANXA1,0.4650670032901075
NCLN,0.4649408525995933
ZFAS1,0.46493784680242145
SHF,0.46469173762312727
LINC00607,0.4641813481638549
UBXN1,0.4641349688187056
RPL32,0.464127583040307
CDC42EP3,0.46411519958305864
RAB25,0.4640466449991463
JAK3,0.464026029687569
SELENOH,0.46398870606720194
BCL3,0.4638510645839876
ORAI3,0.46361109959734775
PRR36,0.4631027520679099
UBA52,0.46298330274115973
PI4K2A,0.4628281058382968
CARD19,0.4620075384401944
FAS,0.46199628497909034
ARPC3,0.46141547526967663
BATF3,0.46137533128655595
PLCB3,0.46077730729337785
DENND6B,0.46076859540478093
IVL,0.46063224144663256
MRPS25,0.46036999006700074
PIDD1,0.4602806979634831
BMP1,0.4600806803350788
SNRPB,0.4600790674515393
NIBAN2,0.459438800339021
MPG,0.4593007967718814
TMT1B,0.45883303357644595
LST1,0.4587259184658416
CD55,0.4585321137819571
COMT,0.4584017022938908
CEACAM6,0.4582271658153931
CRACR2B,0.45813667450274476
PTPRU,0.4578718743293185
MUC21,0.45756189201727315
PNPLA6,0.4574546154390014
EPHA2,0.4568925944467763
MAP3K11,0.45637475490273416
VGLL1,0.45630468756826525
LIF,0.4562108225778011
FXYD3,0.45604176723320483
PPP1R1B,0.4559535944186321
THOC6,0.45591912030795295
RNASEH2A,0.4557122028393882
LOC124903398,0.45560856166373787
DOK1,0.45546317215189047
S100A1,0.4554087985811451
MPND,0.4550931786787462
ABTB1,0.4550605059239359
FUT2,0.45493951009270794
CTF1,0.4547149728837385
KLK10,0.45467938604182806
LOXL1,0.4546620137514437
CHI3L1,0.45449200091835623
AP1S1,0.4542498745372219
LOC124906209,0.4540941869643139
NR2F6,0.45394747478572095
PODNL1,0.453407085179874
DHRS3,0.45330096306080214
AP2M1,0.4532765677360555
SDC4,0.4532668757841297
SH3BP1,0.4532634840095443
SRC,0.4532379566312646
RRP1,0.4532303112569616
C11orf68,0.45298253148744366
LOC107985020,0.45246253001724845
TUBA4A,0.45214419768043246
RPL7A,0.45196458628040287
LRG1,0.4518998140693658
RACK1,0.4516395288280181
CC2D1B,0.4515512182501372
TNFRSF18,0.45150907666737616
RAP2B,0.45109421027863317
CLEC2B,0.45085662672135646
KCNQ3,0.4507947140662186
RANGAP1,0.45078801579512806
LSM7,0.4505812318834041
VSTM2L,0.45040525797465003
PNPLA2,0.4501815861782383
PELI3,0.45000107891494806
RPL24,0.449938926112151
SFXN3,0.4494404261064761
DHRS1,0.44923520980744674
GOLGA7B,0.44913894548132405
CENPB,0.4490569803524662
PLAAT3,0.4488077879286576
LRFN4,0.4487943291316667
EPS8L1,0.4487788097740965
NAPRT,0.4486822920751727
DUSP6,0.44858325991192816
ENTPD8,0.4485263598687247
RPL13A,0.4484191235722967
LPAR5,0.44839620575077516
IGSF8,0.4482959080280321
PCED1B,0.4481207689738345
SHB,0.44797402493363014
EGLN2,0.44794358575540494
RPS4X,0.4479110267090405
SOX4,0.4478458239927113
TUSC3,0.44782879222231814
IMPDH2,0.4477873347626461
ZNF524,0.4477657659326793
ANGPTL4,0.4472273692987835
SPTBN2,0.4470475913558377
SMIM3,0.44672126350791236
NAA80,0.44666478799778797
DCAF15,0.4466394782417354
CTSA,0.44651788892744787
SNHG6,0.4463940313633566
PTPRE,0.44632166161749404
SAMD10,0.4463016650507193
RPSA,0.4460303791427296
RMI2,0.4458117595284473
RPS6KA4,0.44573405324787246
POP7,0.44572040157030907
EHBP1L1,0.44542736964479396
RELB,0.4454084786014599
SULF2,0.4444889535886881
ARRDC2,0.4444704567671369
BABAM1,0.44444463867085965
RANGRF,0.4444075424176347
CRB3,0.4443356130990709
CD70,0.4442609318462352
CLU,0.44350047848210683
YIF1A,0.4433473467163466
MISP,0.44317009249072636
FTH1P20,0.4431577489003078
SYT12,0.4429702364384787
LBX2-AS1,0.4428414058778914
SCNN1A,0.44282141079022547
MYL9,0.44281113724947024
KRT18,0.4427514558103635
DUSP4,0.4426550820898296
MEX3D,0.44233487177208664
ASPHD1,0.44228815116961756
OAZ3,0.4422863852030301
TXNDC17,0.44226424737382325
APOL1,0.44202594214819
SLC34A2,0.4419165553650608
DUSP5,0.4416599218015389
LY6G6C,0.4416124342227248
GTF3C6,0.4414353893812595
AVPI1,0.4410444326676867
DNTTIP1,0.4409550002929695
PLEKHF1,0.4408046582631985
IFI27L2,0.44066093150652236
B4GALT2,0.44062166660066787
SLC1A5,0.44035524599480064
ECE1,0.44034757515084555
GLMP,0.44029492429659883
DAPK3,0.44023789243997963
FCHO1,0.440236209547805
PML,0.44018923447721003
EIF2B4,0.4401285613561926
PMAIP1,0.44010067085656723
ORMDL2,0.44008635281357655
WDR74,0.43985826795451743
CLDN3,0.43946741760706126
TST,0.43883148688536866
TNIP1,0.43872411710237535
CRIP2,0.43863992739777624
SPMIP8,0.43848806273887403
SEMA3B,0.4379411970082829
CCND1,0.43792589448947766
CAMK2N1,0.4377219623980548
BICDL3P,0.4376967302764801
C19orf53,0.43730871734766114
RAB7B,0.43723333942841347
MYBPH,0.43673634626663116
POLD4,0.4366855573110338
RASD2,0.4364587624105699
SLX9,0.4363578240109138
ERBB3,0.43634698720977544
DPP4,0.43625776045371356
PYCR2,0.4361582918669399
THAP8,0.43614392622318154
AGTRAP,0.4360633569452271
COMMD4,0.43596861363674927
NRBP1,0.4358494627510893
KRTCAP3,0.4356818988339535
SLC8B1,0.4356061285746055
HS3ST1,0.4354662756292769
SLC16A3,0.4354174208212655
ARF5,0.4353256404646727
GALK1,0.4353235241998385
RPL36A,0.4351094524909011
NPDC1,0.43498130892105413
RPL35,0.4348763139507176
SYTL5,0.43487102905292635
ABCC3,0.43484955018650745
NAGPA,0.4346058918266523
TMEM219,0.4342139424570258
RAB32,0.4340861399634763
CLTB,0.4340115253258828
CRABP2,0.43367030722759836
KRTCAP2,0.43344127198336646
CLIP3,0.4334234242431234
CDT1,0.4332328172382098
CFB,0.433209007413199
IRF7,0.4331552716933056
NACAD,0.4331172617572779
BANF1,0.4327206215927196
HMGA2,0.4322732526189151
RSPO4,0.4322424672925835
EPS8L2,0.43200354994039336
MEA1,0.4318051036151258
TSEN54,0.43180441876112313
CCL13,0.43134940993514265
METTL26,0.431185262486335
RPL27A,0.43114654911345135
ZDHHC12,0.43112803688864076
MED15,0.4306044424695832
FUCA1,0.4301906778557038
CRYBG2,0.4301518667530458
FAU,0.43012319399672794
NUDT14,0.42986441843496087
RPL18,0.42969149363608683
CXCL17,0.4296869226921989
VTCN1,0.42965143394256966
RPS8P1,0.42934619378998634
HES4,0.4292110610324943
TMEM176A,0.42899155580254844
RARA,0.4289535929578676
BCL2L12,0.42887741519275974
MOV10,0.4288682263088351
TMPRSS11E,0.4287361882610492
PROSER2,0.4286944133685267
SERPINH1,0.4286313817149455
EMILIN2,0.4284864424561394
HLA-A,0.4284778286055488
C14orf119,0.4284313667440731
ETV7,0.42829456105478975
PRRX2,0.4277880137699518
TYROBP,0.4276586314546328
SDC3,0.4275886677757569
SYT1,0.42728388647771803
ICAM1,0.42706862763612224
TUBB6,0.4270498746910722
FHL3,0.42704970837432427
DTX4,0.4270409665055388
CLDN16,0.42701605108306434
TM4SF4,0.4269985335023934
WBP2,0.4267960390138955
KCNJ2,0.42660468801227164
FDXR,0.42660140490797144
PRSS23,0.42616421055370884
PMEPA1,0.4259450940995645
DLGAP4,0.4258134238715986
PLEKHA4,0.4257728221549658
NRM,0.42553607500579155
SNRPD2,0.42545809202933815
LRATD1,0.42496253427058417
DTYMK,0.42432477935950164
TMC8,0.42428785698251004
RPS14,0.4240282320197125
LEMD1,0.42399923189698496
SPINK2,0.423944632896884
KAZALD1,0.4239253035951944
C10orf95,0.42391972175220444
HIKESHI,0.42375293470778486
RPS28,0.42370913293563917
MIR100HG,0.4236274813637957
SLC60A1,0.4235430380506457
MMP11,0.4232028488708471
TREM1,0.4229393669794685
ITGB1BP1,0.42281604137942236
EPHX3,0.42243460301741026
HLA-DQB2,0.42240306806552347
NAPSA,0.42228422668961363
C3,0.4222451038556819
PRR15,0.422241934026952
RARA-AS1,0.4221881399121509
UNC13D,0.42201530271956
CXCL14,0.42174639107874135
CLDN10,0.4216459973485219
RTN4R,0.4215955734350248
CRIP1,0.4214591561025047
CDK9,0.421340681925543
PRAF2,0.4212774764642401
SRGAP2,0.4211143694066679
DRAP1,0.4211010940492729
COMMD3,0.4210286404298635
EIF3G,0.4209317697905566
ICAM5,0.4205465037459377
PMM1,0.4203150016363971
PLAAT4,0.42021525445273106
GARIN5A,0.4198928885360235
CYB5R2,0.4198182406955622
PHLDB3,0.41913736738891294
CFI,0.4183532858353523
RPL31,0.4183139725718973
RNF208,0.4180962716242701
CLDN7,0.41778625749066467
ZMYND15,0.4175955806737097
PLEKHA6,0.417455590680754
ROMO1,0.4174454842692015
ADAMTSL5,0.417287166750383
CSNK2B,0.41726079956305595
ARAP1,0.4171953312906731
BRI3,0.4166761537984585
PCGF1,0.416637726235941
CLDN4,0.41648017533115517
H2AX,0.4164476837838176
ELOB,0.41635154918557554
EVPL,0.41628184734282697
TOMM34,0.4162776124837907
COMP,0.4161895069971602
TUBB3,0.41616914575292663
HAPLN3,0.41572969214665995
GBGT1,0.41572114259262644
PFDN4,0.4157074413027023
SLC50A1,0.4156476285974492
LAMC2,0.41512987309334487
PSMB1,0.4148805910389107
COL7A1,0.4147320856667228
MBOAT2,0.41457236345682413
LGALS9,0.41450475534171755
MPZL2,0.41449060357634304
AIP,0.4143683933313169
UBALD2,0.41428307464824865
C1orf35,0.41425619212851933
THEMIS2,0.41420564445357466
CRLF1,0.4140327191674453
SPATS2L,0.413986627311589
NAB2,0.4138881757571219
RPS18,0.413701939835802
RPS24,0.413635054975194
PRDX6,0.41363286288475365
SLC18A3,0.41361908988822105
NADSYN1,0.4135425251704682
ADAM15,0.4134304389194346
PRICKLE1,0.41322085005014225
S100B,0.41320787920802066
NSMCE1,0.4132015406821229
CST2,0.4131460453434536
RUNX2,0.4131230326600668
RPL29,0.41292101400586473
CH25H,0.4128970452169432
BCKDK,0.41276645863502404
MDFI,0.412526017781077
MEDAG,0.4124159015574892
ARFRP1,0.4123899552652374
NKX2-8,0.4121349335208922
CPTP,0.41209543463812665
NOXA1,0.4119609622076653
SLC35C1,0.41178692315467275
S100A9,0.4112261063712363
SAT1,0.41121443966865107
B3GALT6,0.4111874760806098
ANXA2P2,0.41104042651258
APOBR,0.4109420548942012
GSDMD,0.4109269463606801
DPYSL3,0.4107612237510832
PYGL,0.41068258822536685
CNIH3,0.41063347044852705
FAM174C,0.4104875534803202
GGCT,0.41039578988421277
VPS72,0.4103235256405363
PRR5,0.41030458284058274
TNFSF12,0.41027068491632246
WASF1,0.41026337799498686
ETNK2,0.41023052982633595
LIMK1,0.4100967006085978
RPS10,0.4100961610997656
CREB5,0.41002646001706733
COL16A1,0.4099583860883593
SCRIB,0.4098434072813115
DSC3,0.4096193874682336
KDELR3,0.40957788606950146
PTGES,0.4095759723650201
KLHL17,0.4093940796054274
USF1,0.4093911969332058
TOR4A,0.40906327610961757
CNPY3,0.4088921174925937
FBXL9P,0.4088020224182727
UBE2E2,0.4087811691157967
PLXNA3,0.40851475022569755
RPUSD3,0.40831698227913577
CHPF2,0.40820713925208424
MAMLD1,0.40795007370468217
TMEM51,0.4078972151959974
PPL,0.4078044345507518
SPI1,0.407780912851192
THOC5,0.4077297363067866
VAT1,0.40767725757824835
CCL22,0.4076333854354124
NENF,0.40759525412451497
RNASEH2C,0.4075373018781099
RTN2,0.4071334746129005
PCAT6,0.40712085918826835
B3GNT7,0.4069466608143798
WNT10A,0.40691940244276437
CACNG4,0.4069161749871773
NECAP2,0.40671587761142275
PSTPIP2,0.4067060751715985
MGAT3,0.4066086052434822
FAM131B-AS2,0.4065179821776099
PPP2R1A,0.4064766173101992
ADRM1,0.406439612824445
MTHFD1L,0.4063204922141747
IFNGR2,0.4061081476495162
RPS21,0.40566500522710003
CCL17,0.4055832197737833
CCL20,0.40535282326398053
PLD4,0.4051948463845257
KXD1,0.4047441628036807
PLD3,0.404589649555974
FANK1,0.4044937041752949
CYBA,0.4044369572464866
NLGN2,0.40439600130275527
RPL23,0.40436329935561904
TSR3,0.4039386009851282
PEX16,0.4039050681150556
TMEM98,0.4038289610784975
MAPK13,0.40375094217147706
RAET1G,0.40354925913122747
MCM5,0.40344837908730224
PNMT,0.40335987915116917
HLA-G,0.40334277538296326
RAC2,0.4031840916387332
CEBPB,0.4031734396298292
ARFGAP1,0.40317129153381004
TMEM176B,0.4029943314567974
TMEM163,0.4028038910795126
RPS11,0.40263793207943843
CARD9,0.4022818065206797
TRMT1,0.4021082656172006
CLDN9,0.4020603481787927
SDR16C5,0.40204567534718166
MAD2L2,0.4019586492432755
HEBP2,0.401639001988345
CASP6,0.4010545853107997
TMEM234,0.40091680889889963
SPAG4,0.40087316119107297
RPL36AP37,0.4008604140045654
PSMD13,0.40079041200017634
TAF1D,0.40069611231364843
AGPAT2,0.40063451495899244
REX1BD,0.40061525508859874
EIF3I,0.4005071372431481
PSME1,0.40021535812496156
BLOC1S2,0.40017611412883985
RTL8A,0.39998749739753314
IL23A,0.3998450019758854
NAA10,0.3998350753517757
TMEM150A,0.3997794922948401
MAPKAPK2,0.39967106181427875
RPL34,0.3995614251162937
SCARA3,0.3994749230837118
FLII,0.39944082112123586
G0S2,0.3993695004196733
PRR7,0.39912382528938956
SLC27A6,0.39903071645552435
LINC03014,0.3990249570626215
TRAPPC1,0.39902158858762027
NARF,0.3989848874877841
MYL12A,0.3988706286711038
ALDH1A3,0.39884827308109616
ITPKC,0.3988128542107077
SLC35H1,0.39879177601438764
FBXL6,0.39867709146043795
SNX8,0.39842599760041586
SLC52A2,0.3983743608820654
C1QTNF1,0.39827675288481973
GNB2,0.39824822377092867
NDUFA11,0.3982268687613353
TGM1,0.3981085317019102
LEISA1,0.39796101116823973
SURF2,0.39772320501386943
HYAL2,0.3975616413280339
TMEM256,0.3974006595868715
ALOX5AP,0.39730417061131396
PROCR,0.39728901243205833
TMEM63B,0.3970624557800573
ACTN1,0.39691240798865973
SPOCK2,0.3967969109292215
