sample,PHLDA3,study,stype,site,disease
GTEX-ZZPT-0226-SM-5E43X,11.1,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-M7-A724-01,10.68,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-FD-A5BV-01,12.1,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-13S7M-0011-R11b-SM-5P9HU,8.914,GTEX,Normal Tissue,Brain,Brain - Cerebellar Hemisphere
GTEX-12ZZZ-0011-R3b-SM-5DUXK,10.9,GTEX,Normal Tissue,Brain,Brain - Anterior Cingulate Cortex (Ba24)
TCGA-13-1510-01,11.45,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-RU72-0011-R2A-SM-2TF6O,11.21,GTEX,Normal Tissue,Brain,Brain - Substantia Nigra
TCGA-N6-A4VF-01,10.6,TCGA,Primary Tumor,Uterus,Uterine Carcinosarcoma
GTEX-12WSH-3026-SM-5CVNI,10.63,GTEX,Normal Tissue,Brain,Brain - Cortex
TARGET-50-PAJPDC-02,11.11,TARGET,Recurrent Solid Tumor,Kidney,Wilms Tumor
TCGA-43-A56V-01,12.21,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TARGET-50-PAJPDC-01,10.18,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
GTEX-11EM3-1826-SM-5A5KO,11.01,GTEX,Normal Tissue,Vagina,Vagina
TCGA-P5-A5EY-01,10.57,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-EL-A3MW-01,10.74,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-S4Q7-1326-SM-4AD74,11.42,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-X585-0011-R8A-SM-46MUX,10.9,GTEX,Normal Tissue,Brain,Brain - Hypothalamus
TCGA-ET-A39P-01,12.12,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-HT-7902-01,11.77,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-KM-8438-01,8.485,TCGA,Primary Tumor,Kidney,Kidney Chromophobe
TARGET-30-PANBJH-01,10.07,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
TCGA-3H-AB3X-01,12.63,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
TCGA-25-1317-01,11.57,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-EL-A3ZM-11,9.174,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
GTEX-148VJ-0006-SM-5NQB1,5.504,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-29-1690-01,12.92,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-13O1R-0826-SM-5J2MB,10.7,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-N7MS-0011-R5a-SM-2HMK8,10.51,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
GTEX-Y3IK-0126-SM-4WWE9,8.973,GTEX,Normal Tissue,Spleen,Spleen
TCGA-EE-A3AD-06,11.8,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-06-2564-01,11.29,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
GTEX-145MH-0011-R3b-SM-5P9JQ,11.1,GTEX,Normal Tissue,Brain,Brain - Anterior Cingulate Cortex (Ba24)
TCGA-XK-AAIV-01,9.02,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-11GS4-2526-SM-5A5KT,10.39,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-DW-7839-01,10.1,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-JY-A939-01,8.624,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-IQ-A6SH-01,13.03,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-12ZZZ-1726-SM-59HK5,10.49,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-1399U-1826-SM-5PNZ1,13.34,GTEX,Normal Tissue,Breast,Breast - Mammary Tissue
TCGA-BP-5178-01,11.6,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-EE-A2GL-06,12.66,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-06-5408-01,10.68,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
TCGA-LD-A7W5-01,10.63,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-EL-A3CW-01,9.932,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-ZP-A9CZ-01,9.104,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-SNOS-0726-SM-4DM5Z,11.55,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-EE-A2M8-06,12.61,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-U4B1-1426-SM-4DXTX,11.46,GTEX,Normal Tissue,Prostate,Prostate
TCGA-EL-A3T7-11,9.94,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
TCGA-55-6980-01,11.8,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-XUZC-0126-SM-4BOO6,9.329,GTEX,Normal Tissue,Thyroid,Thyroid
TARGET-30-PARBGP-01,8.831,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
TCGA-DD-A118-11,7.464,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
TCGA-AA-3526-01,8.343,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-JX-A3Q8-01,10.64,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
