sample,PHLDA3,study,stype,site,disease
GTEX-S4Q7-0003-SM-3NM8M,9.261,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
TCGA-S9-A7J2-01,10.33,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-QV31-1626-SM-2S1QC,10.67,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-G3-A3CH-11,8.85,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
GTEX-13OVI-1026-SM-5L3EM,10.13,GTEX,Normal Tissue,Uterus,Uterus
GTEX-13OW5-0626-SM-5J2N2,10.76,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-XUZC-2026-SM-4BRW9,11.66,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-EK-A2RE-01,11.95,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-44-6778-01,9.768,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-F4-6854-01,9.645,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-AB-2863-03,7.297,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-C8-A1HL-01,9.978,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-EW-A2FS-01,11.58,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-ZAKK-0326-SM-5EGHA,11.26,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-1399S-1726-SM-5L3DI,10.34,GTEX,Normal Tissue,Lung,Lung
GTEX-ZF29-0926-SM-4WKFZ,10.57,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-05-4420-01,9.678,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-13W3W-2626-SM-5SIA2,10.94,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-WHPG-0226-SM-3NMB9,10.6,GTEX,Normal Tissue,Thyroid,Thyroid
TCGA-2G-AAFZ-01,10.36,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
GTEX-P44H-0526-SM-2XCF1,12.23,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-ZDYS-0826-SM-4WWCR,11.06,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
TCGA-DX-A3U8-01,11.92,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-GL-8500-01,9.848,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-13OVJ-0011-R1b-SM-5L3I6,11.11,GTEX,Normal Tissue,Brain,Brain - Hippocampus
TCGA-CC-A3MA-01,8.083,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-TSE9-0126-SM-3DB83,10.74,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-BR-A4J6-01,10.67,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-RU1J-1926-SM-2TF6S,11.0,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-KK-A6E4-01,10.63,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-IN-7808-01,9.559,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-L5-A4OH-01,9.1,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-RP-A695-06,12.68,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-A4-7828-01,11.71,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TARGET-20-PARXMP-09,5.413,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
GTEX-POMQ-0006-SM-5SI7D,5.589,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-B9-A8YH-01,9.675,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-11P7K-0326-SM-59871,10.99,GTEX,Normal Tissue,Lung,Lung
TCGA-E1-A7YI-01,9.457,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-PC-A5DM-01,10.78,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-BR-A4QL-01,9.36,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-CH-5751-01,8.07,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-A2-A3XX-01,11.03,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-QXCU-0626-SM-2TC69,10.7,GTEX,Normal Tissue,Lung,Lung
TCGA-DQ-5624-01,12.7,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-KK-A7B3-01,10.84,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-1269C-2626-SM-5EQ5C,10.05,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-DQ-7591-01,11.81,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-06-5412-01,10.85,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
GTEX-P4PQ-0126-SM-2S1NM,11.86,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-BP-4989-01,10.78,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-EJ-8468-01,9.177,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-CZ-5459-01,11.34,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-D5-5538-01,9.926,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-KP-A3W3-01,10.09,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
GTEX-1122O-0426-SM-5H12G,10.4,GTEX,Normal Tissue,Blood Vessel,Artery - Coronary
TCGA-CZ-5468-11,10.51,TCGA,Solid Tissue Normal,Kidney,Kidney Clear Cell Carcinoma
TCGA-BH-A0BQ-11,10.02,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
GTEX-1399Q-0005-SM-5NQAG,10.18,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-4X-A9FA-01,12.79,TCGA,Primary Tumor,Thymus,Thymoma
TCGA-DD-AAW0-01,9.459,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-11EI6-0826-SM-5985V,11.01,GTEX,Normal Tissue,Lung,Lung
GTEX-11EI6-3126-SM-5H111,11.31,GTEX,Normal Tissue,Pituitary,Pituitary
TARGET-50-PAJMSE-01,10.43,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
GTEX-QV44-1726-SM-4R1KG,9.932,GTEX,Normal Tissue,Testis,Testis
GTEX-111VG-1926-SM-5GIDO,9.483,GTEX,Normal Tissue,Testis,Testis
TCGA-BR-4292-01,8.518,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-AA-3511-01,9.837,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-Z7-A8R5-01,11.77,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-GV-A3QK-01,12.75,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-S341-0326-SM-2XCAU,10.31,GTEX,Normal Tissue,Lung,Lung
TCGA-39-5031-01,10.21,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-N7MS-2625-SM-3LK77,10.55,GTEX,Normal Tissue,Pituitary,Pituitary
TCGA-ZG-A8QW-01,10.78,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-DU-7302-01,10.23,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-DJ-A3UX-01,10.67,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TARGET-30-PATGLU-01,10.0,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
GTEX-OHPJ-0926-SM-2HMJ1,9.75,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-13O61-0326-SM-5KM2O,11.04,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-ZN-A9VQ-01,11.81,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
TCGA-EI-6512-01,7.855,TCGA,Primary Tumor,Rectum,Rectum Adenocarcinoma
TCGA-J4-A83K-01,10.4,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-2H-A9GF-01,8.417,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-HZ-7922-01,11.47,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-TSE9-1326-SM-5CHR5,0.0,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
GTEX-13PL7-2726-SM-5L3GB,10.85,GTEX,Normal Tissue,Vagina,Vagina
GTEX-ZVZQ-0006-SM-51MR8,7.028,GTEX,Normal Tissue,Blood,Whole Blood
GTEX-QV44-0526-SM-2S1RE,9.573,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-WY7C-0426-SM-3NB3C,10.1,GTEX,Normal Tissue,Lung,Lung
TCGA-DD-AACA-02,5.823,TCGA,Recurrent Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-DD-AACA-01,7.539,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-ZPCL-0004-SM-4WWD6,9.515,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
GTEX-X5EB-0326-SM-4QASF,11.47,GTEX,Normal Tissue,Blood Vessel,Artery - Coronary
TCGA-D3-A8GD-06,12.45,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TARGET-30-PASFIC-01,9.311,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
GTEX-13G51-2126-SM-5IJD9,12.74,GTEX,Normal Tissue,Colon,Colon - Sigmoid
TCGA-13-1485-01,13.71,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-QG-A5YX-01,6.507,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
GTEX-Y5V6-2826-SM-4VDSF,11.32,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-ZG-A9MC-01,11.26,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-DU-A7TI-01,8.879,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-TMZS-0001-SM-3P61Q,9.217,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
GTEX-T5JC-2426-SM-3NMDB,11.02,GTEX,Normal Tissue,Brain,Brain - Cortex
TCGA-BR-8372-01,9.281,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-WOFM-0526-SM-4OOS2,11.19,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-HC-7742-01,9.896,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-DD-A3A6-11,8.963,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
TCGA-64-1679-01,11.6,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-CV-5976-01,12.34,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-N7MS-2526-SM-26GMA,8.316,GTEX,Normal Tissue,Brain,Brain - Cerebellum
TCGA-25-1315-01,11.1,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-13FTZ-2226-SM-5LZXI,10.26,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-14AS3-1326-SM-5RQJE,9.906,GTEX,Normal Tissue,Ovary,Ovary
TCGA-R6-A8WC-01,7.573,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
GTEX-1339X-0326-SM-5K7Z8,10.53,GTEX,Normal Tissue,Heart,Heart - Atrial Appendage
TCGA-GE-A2C6-01,11.16,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-CV-6948-01,11.26,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-K7-AAU7-01,9.45,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-CJ-6028-01,9.972,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-11ONC-2826-SM-5P9GQ,10.99,GTEX,Normal Tissue,Pituitary,Pituitary
TCGA-E9-A1N6-11,11.08,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
GTEX-N7MS-2526-SM-26GMR,6.834,GTEX,Normal Tissue,Brain,Brain - Cerebellum
GTEX-ZP4G-0526-SM-4YCED,10.18,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-CZ-5456-01,11.48,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-WH7G-0826-SM-4LVMR,9.478,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-EL-A3D0-01,10.57,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-EM-A22Q-01,13.03,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-1497J-1226-SM-5Q5BL,10.83,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
TCGA-49-6744-01,10.48,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-5P-A9KA-01,10.61,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-QLQ7-0826-SM-447B3,8.924,GTEX,Normal Tissue,Stomach,Stomach
TCGA-78-7154-01,10.1,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-ZN-A9VU-01,10.73,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
TCGA-Q3-A5QY-01,11.61,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-WYBS-1026-SM-4ONCY,10.74,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
GTEX-ZPCL-1426-SM-57WEC,11.13,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
GTEX-11NV4-1326-SM-5HL6V,8.433,GTEX,Normal Tissue,Liver,Liver
TCGA-AJ-A3BI-01,9.386,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
TCGA-W2-A7UY-01,11.65,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TCGA-BH-A204-11,12.29,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
TCGA-E3-A3E2-01,10.93,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-132QS-0326-SM-5IJFN,10.36,GTEX,Normal Tissue,Thyroid,Thyroid
TCGA-FB-A545-01,11.54,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-44-2657-11,11.45,TCGA,Solid Tissue Normal,Lung,Lung Adenocarcinoma
TCGA-G4-6320-01,9.355,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
GTEX-X585-0008-SM-46MU4,11.79,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-EB-A41A-01,11.48,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
GTEX-Z93S-1626-SM-5CVMB,11.65,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-55-6982-01,12.66,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-139T8-0011-R1a-SM-5HL75,10.38,GTEX,Normal Tissue,Brain,Brain - Hippocampus
TARGET-50-PAJNTJ-01,10.07,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
GTEX-12WSD-2826-SM-59HKT,10.57,GTEX,Normal Tissue,Uterus,Uterus
TCGA-RC-A7SH-01,7.426,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-11ZUS-0011-R11b-SM-5BC7B,9.26,GTEX,Normal Tissue,Brain,Brain - Cerebellar Hemisphere
TCGA-CE-A484-01,11.58,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-E2-A153-11,10.57,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
GTEX-ZPU1-1026-SM-4YCEQ,8.356,GTEX,Normal Tissue,Spleen,Spleen
GTEX-Y9LG-0226-SM-4VBS4,10.02,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
GTEX-13PVQ-0726-SM-5L3GI,10.53,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-OHPL-1626-SM-2HMIR,11.57,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-POYW-0006-SM-2XCF4,5.91,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-DD-A3A5-11,6.629,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
TCGA-AR-A0TX-01,9.026,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-CD-8528-01,10.73,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-12584-0926-SM-5FQTN,10.41,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-PLZ6-0626-SM-5K7WJ,11.2,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
GTEX-11DYG-0006-SM-5NQB2,5.286,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-CM-6164-01,9.459,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-C5-A1ME-01,12.19,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-09-0369-01,9.666,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-Y5LM-0426-SM-4VBRO,6.723,GTEX,Normal Tissue,Liver,Liver
TCGA-E2-A2P6-01,11.47,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-YB5E-1026-SM-5IFI2,11.66,GTEX,Normal Tissue,Esophagus,Esophagus - Gastroesophageal Junction
TCGA-VD-A8KF-01,11.48,TCGA,Primary Tumor,Eye,Uveal Melanoma
GTEX-ZYW4-1426-SM-5SIAX,11.76,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
GTEX-Y5V5-2126-SM-4WWFO,11.8,GTEX,Normal Tissue,Breast,Breast - Mammary Tissue
GTEX-ZT9X-1826-SM-57WDU,12.34,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-EL-A4JZ-01,11.76,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-R53T-1626-SM-3GAEW,11.66,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-M7-A722-01,11.56,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-13O3P-0226-SM-5KM3Z,13.31,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-RU1J-0006-SM-2TF6M,5.528,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-CV-A6K0-01,11.32,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-Y114-1926-SM-4TT8J,11.52,GTEX,Normal Tissue,Vagina,Vagina
TCGA-24-1419-01,8.812,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-BH-A1EN-01,11.46,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-ZF3C-2026-SM-4WWB5,9.774,GTEX,Normal Tissue,Pancreas,Pancreas
TARGET-50-PAJLTI-01,9.941,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
TCGA-AO-A1KT-01,11.06,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-D3-A3CE-06,10.63,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-P4PP-0726-SM-3NM9S,11.41,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
GTEX-11ONC-2326-SM-5HL6P,12.89,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-P4QS-1726-SM-3NB1V,12.52,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TCGA-12-5299-01,11.87,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
TARGET-50-PAJPAR-01,8.233,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
TCGA-29-1761-01,11.25,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-NPJ7-2726-SM-2I3FT,10.9,GTEX,Normal Tissue,Brain,Brain - Cortex
TCGA-33-4587-11,11.51,TCGA,Solid Tissue Normal,Lung,Lung Squamous Cell Carcinoma
GTEX-11OC5-0004-SM-5S2O6,8.65,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
TCGA-BJ-A0ZJ-01,11.36,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-P5-A5EX-01,11.95,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-J8-A3O2-06,11.52,TCGA,Metastatic,Thyroid Gland,Thyroid Carcinoma
GTEX-13OVJ-0011-R9b-SM-5L3GD,11.82,GTEX,Normal Tissue,Brain,Brain - Spinal Cord (Cervical C-1)
TCGA-DJ-A4V2-01,11.75,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-HT-8563-01,11.61,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-ZA64-2226-SM-5Q5A9,11.09,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-XUW1-1726-SM-4BOOZ,9.854,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-J8-A3O2-01,11.27,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-131XE-2026-SM-5LZW1,12.48,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TCGA-AT-A5NU-01,12.6,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-E9-A3HO-01,8.907,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-XAJ8-1026-SM-47JY9,9.965,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-QCQG-1726-SM-3GIJ9,10.5,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-A6-A567-01,9.665,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-58-A46N-01,11.81,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-BH-A18V-06,8.14,TCGA,Metastatic,Breast,Breast Invasive Carcinoma
GTEX-12WSL-2726-SM-5CVNL,12.16,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-XMD2-0006-SM-4WWEG,6.176,GTEX,Normal Tissue,Blood,Whole Blood
GTEX-13SLW-0226-SM-5S2NA,12.18,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-ZTSS-1126-SM-5985O,10.79,GTEX,Normal Tissue,Colon,Colon - Transverse
GTEX-YBZK-0005-SM-59HKG,6.063,GTEX,Normal Tissue,Blood,Whole Blood
GTEX-11P81-2426-SM-5GU65,11.84,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-14C5O-1726-SM-5RQI9,11.59,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-CG-4466-01,7.133,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-A3-3383-01,11.52,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-OIZI-1026-SM-3NB1K,11.33,GTEX,Normal Tissue,Lung,Lung
GTEX-13FHP-0226-SM-5K7WD,12.27,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-NJ-A4YI-01,12.94,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-D8-A1XJ-01,7.964,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-Y9LG-0426-SM-4VBRT,9.663,GTEX,Normal Tissue,Thyroid,Thyroid
TCGA-VT-A80J-01,9.538,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-11DZ1-0426-SM-5H11A,11.51,GTEX,Normal Tissue,Lung,Lung
TCGA-Q1-A73Q-01,11.37,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
GTEX-S32W-0004-SM-2XCE9,9.639,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
TCGA-SC-A6LM-01,12.27,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
TCGA-EE-A2GB-06,11.14,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-24-1845-01,9.051,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-AA-3516-11,9.894,TCGA,Solid Tissue Normal,Colon,Colon Adenocarcinoma
GTEX-ZLWG-0008-SM-4E3J4,11.77,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TARGET-10-PANIEU-03,7.135,TARGET,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Lymphoblastic Leukemia
GTEX-12ZZZ-0011-R10a-SM-5P9HC,11.15,GTEX,Normal Tissue,Brain,Brain - Frontal Cortex (Ba9)
TCGA-HU-A4GP-11,11.93,TCGA,Solid Tissue Normal,Stomach,Stomach Adenocarcinoma
TCGA-A2-A04P-01,9.205,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-BA-6870-01,12.53,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-73-4666-01,9.489,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-MV-A51V-01,12.61,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-A4-A5Y0-01,11.96,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-5P-A9K4-01,11.38,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-VD-A8KE-01,12.49,TCGA,Primary Tumor,Eye,Uveal Melanoma
GTEX-N7MT-1426-SM-3LK5M,11.68,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-56-A4BX-01,11.14,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-Q2AI-0006-SM-2I3FG,2.941,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-34-7107-01,11.29,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TARGET-20-PASMHY-03,5.187,TARGET,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
GTEX-ZUA1-0011-R8b-SM-51MST,11.42,GTEX,Normal Tissue,Brain,Brain - Hypothalamus
GTEX-YB5E-0008-SM-4VDT7,12.32,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
GTEX-139TU-0226-SM-5J1NM,11.81,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-BR-A4J9-01,12.2,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-FD-A3N6-01,12.32,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-CV-6955-01,12.02,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TARGET-10-PAPBZK-09,3.822,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
TCGA-P3-A5Q6-01,12.56,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-FG-A60K-01,10.46,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
