drug,best_score,n_sig
vorinostat,0.0446,4
geldanamycin,0.0446,7
CLONIDINE HYDROCHLORIDE,0.0446,1
CT-200783,0.0446,1
Caffeic acid phenethyl ester,0.0446,1
trichostatin A,0.0446,9
linifanib,0.0495,1
T7765,0.0495,1
QUINACRINE HYDROCHLORIDE,0.0495,1
PUROMYCIN HYDROCHLORIDE,0.0495,2
PK-11195,0.0495,1
528116.cdx,0.0495,1
HY-10992,0.0495,1
GSK-1059615,0.0495,1
BI-2536,0.0495,2
Lasalocid sodium salt,0.0495,1
Brefeldin A,0.0545,1
Z-Leu3-VS,0.0545,1
piperlongumine (HPLC),0.0545,1
Hinokitiol,0.0545,1
