model,OR,lo,hi,p,n
PHLDA3+age+sex+T,1.446954783741171,1.1666266465214483,1.794642829764104,0.0007719638645664926,432
+BRAF,1.2952608958209941,1.0313964763800432,1.6266303275839529,0.02601796917089895,432
+BRAF+Fusion,1.1666572275918952,0.9196445396292003,1.4800164933738384,0.20413343375251158,432
