marker_set,PHLDA3hi_malignant_mean,immune_cells_mean
Epithelial/thyroid,0.7977127872430059,0.03601425496946962
Immune,0.05177971702355775,1.1271255909731923
Fibroblast,0.8710772207680101,0.037046569682040904
Endothelial,0.012455578447443504,0.06542772253164605
