ImmuneScore,StromalScore,ESTIMATEScore,PurityIndex,PHLDA3,sample_type,tumor,patient
-0.33093461831002374,0.1713167833478618,-2.715105893390284,2.715105893390284,5.63997176457661,01,1,TCGA-J8-A3YE
0.36481691031530233,0.29530693560955135,3.2782464715685413,-3.2782464715685413,3.768595868222791,01,1,TCGA-BJ-A28W
-0.24832184339093058,0.36335427928682834,0.2687101552933581,-0.2687101552933581,6.3793757734530425,01,1,TCGA-EL-A4K9
-0.21814721057838704,0.35051536119200083,0.295210709469992,-0.295210709469992,4.195244204568734,11,0,TCGA-EL-A3ZQ
0.06707552538716686,0.336070399165609,1.9157303789035187,-1.9157303789035187,5.316917572531732,01,1,TCGA-E3-A3E2
-0.2827133569009425,0.2753728724009625,-1.0764297131040872,1.0764297131040872,4.459069794428753,01,1,TCGA-EM-A1YB
-0.20954658901348136,0.4019910409507002,1.0092834451347472,-1.0092834451347472,5.88764834072406,01,1,TCGA-DJ-A4UQ
-0.2864667700961714,0.32676898215945493,-0.441584675861912,0.441584675861912,5.8848814072704,01,1,TCGA-EM-A4FU
0.16477426799057018,0.26987855961096335,1.686015442291581,-1.686015442291581,4.911391014934434,11,0,TCGA-BJ-A3PR
-0.274933827190334,0.33050490544858757,-0.3207012689230677,0.3207012689230677,5.262176325462967,01,1,TCGA-FK-A3S3
-0.20030591914126802,0.1610344070591774,-2.01991364592596,2.01991364592596,6.8862131255414445,01,1,TCGA-BJ-A3PU
-0.011884170528235552,0.2949338085734947,0.8887331190349685,-0.8887331190349685,5.946750771069849,01,1,TCGA-FE-A23A
-0.1849315008295725,0.3308370049855404,0.2533202502674018,-0.2533202502674018,6.310118111394882,01,1,TCGA-FY-A3ON
-0.17238658416556607,0.36978091288530585,0.8317764620088817,-0.8317764620088817,6.201432239470668,01,1,TCGA-E8-A44K
-0.15123913146357207,0.3060751286758794,0.14930545623828384,-0.14930545623828384,3.753216124329912,11,0,TCGA-KS-A41J
