association,n,r_unadj,p_unadj,r_partial,p_partial,PHLDA3_vs_purity_r,PHLDA3_vs_purity_p
Tumor vs Normal,568,0.44284528393488215,1.112643406397867e-28,0.45800845804347157,9.486524099261081e-31,-0.21808443657780396,8.073388543351594e-07
N1 metastasis,452,0.16731079441481395,0.000353671429744511,0.14037617270787384,0.0028111415475556194,-0.21808443657780396,8.073388543351594e-07
Advanced stage,499,0.19523211717003705,1.1202568122504048e-05,0.18033786411834452,5.1762606892710074e-05,-0.21808443657780396,8.073388543351594e-07
