ensembl,log2FC_tumor_vs_normal,AUC,AUC_disc,pval,mean_logCPM_tumor,FDR,symbol,gene_type
ENSG00000204103,-1.9005222305795462,0.06505014425058388,0.9349498557494161,1.9050521142602607e-27,4.868063002021304,1.4588302921123767e-25,MAFB,protein-coding
ENSG00000039537,-0.9391130995949267,0.06553097953015524,0.9344690204698447,1.6242344490971943e-27,0.2215181017484772,1.2807329854069363e-25,C6,protein-coding
ENSG00000225968,0.869593051892946,0.9344003297156203,0.9344003297156203,2.2133626888312844e-27,1.4495983669766588,1.6787829003668905e-25,ELFN1,protein-coding
ENSG00000115380,-2.220927277726168,0.0656683610386042,0.9343316389613958,2.2552261757134534e-27,5.072942405079624,1.7024285557708003e-25,EFEMP1,protein-coding
ENSG00000087088,0.9719751606820788,0.9342629482071713,0.9342629482071713,2.2978747696406714e-27,5.3477953149813375,1.7264410061715385e-25,BAX,protein-coding
ENSG00000111339,-1.4309603469920618,0.06608050556395109,0.9339194944360489,2.523236342354446e-27,0.6868628864668025,1.886859552160639e-25,ART4,protein-coding
ENSG00000125505,0.7382745175395771,0.9335760406649265,0.9335760406649265,2.770889863344019e-27,6.0021934491814894,2.0623707356702586e-25,MBOAT7,protein-coding
ENSG00000142319,-0.9703918114034962,0.06652699546641022,0.9334730045335897,2.8465055546840918e-27,0.31100923737739494,2.108797231395731e-25,SLC6A3,protein-coding
ENSG00000104044,-2.422522000680009,0.06669872235197143,0.9333012776480285,2.9853552186589243e-27,1.0672990828236915,2.201423051981451e-25,OCA2,protein-coding
ENSG00000149451,-1.4555814526495672,0.06680175848330815,0.9331982415166918,3.070975880704734e-27,1.1182243270895822,2.2541246003624424e-25,ADAM33,protein-coding
ENSG00000170743,-1.2816662160491448,0.06687044923753263,0.9331295507624674,3.128900638077223e-27,0.5223453510017366,2.286106851527248e-25,SYT9,protein-coding
ENSG00000150995,-2.4708091453323204,0.0671108668773183,0.9328891331226816,3.3403008607421015e-27,4.7731033444397974,2.4294206442876798e-25,ITPR1,protein-coding
ENSG00000165023,-1.7327004943902922,0.06714521225443056,0.9328547877455695,3.3716080876044434e-27,0.9616659163454404,2.4308134992847506e-25,DIRAS2,protein-coding
ENSG00000169762,-0.8125467268071196,0.06717955763154279,0.9328204423684572,3.403260989078977e-27,4.318031693305691,2.4308134992847506e-25,TAPT1,protein-coding
ENSG00000101746,-1.7572114613014431,0.06717955763154279,0.9328204423684572,3.389444795391648e-27,0.5435354844717099,2.4308134992847506e-25,NOL4,protein-coding
ENSG00000170153,-2.2554734154536957,0.06717955763154279,0.9328204423684572,3.403260989078977e-27,2.576413174278665,2.4308134992847506e-25,RNF150,protein-coding
ENSG00000138622,1.6403561467365297,0.9327689243027888,0.9327689243027888,3.450669604629426e-27,1.8203352069303547,2.4536725652918525e-25,HCN4,protein-coding
ENSG00000122145,-1.3154164158101223,0.06728259376287951,0.9327174062371205,2.1505341299038596e-27,0.33480734735355994,1.6389333790004153e-25,TBX22,protein-coding
ENSG00000136205,-1.5472552381172004,0.067351284517104,0.932648715482896,3.565856752488368e-27,5.74962719076342,2.524309615717099e-25,TNS3,protein-coding
ENSG00000149948,3.7759773955079936,0.9325800247286715,0.9325800247286715,3.63303124083316e-27,4.373186272116424,2.5604832568137416e-25,HMGA2,protein-coding
ENSG00000111087,-0.966526468731632,0.06745432064844072,0.9325456793515593,3.6669403329439085e-27,0.35617751053818764,2.5729967234859287e-25,GLI1,protein-coding
ENSG00000256340,0.8384387933070783,0.9325285066630031,0.9325285066630031,3.6842268209636746e-27,1.05918246918889,2.5737879300135705e-25,ABCC6P1,
ENSG00000062038,3.440954109889854,0.9322709163346613,0.9322709163346613,3.9511821094672205e-27,5.78881711676917,2.7482283248730957e-25,CDH3,protein-coding
ENSG00000072133,-1.6249270631677413,0.06779777441956313,0.9322022255804369,4.0255509200769465e-27,3.0434517527011935,2.787781524129809e-25,RPS6KA6,protein-coding
ENSG00000104522,0.8174129619085067,0.931927462563539,0.931927462563539,4.337163334872735e-27,5.608828553405697,2.977686965424695e-25,GFUS,protein-coding
ENSG00000154655,-1.300536787812527,0.06807253743646105,0.931927462563539,4.337163334872735e-27,2.2086008178614787,2.977686965424695e-25,L3MBTL4,protein-coding
ENSG00000155792,-2.0754302144602574,0.06834730045335898,0.931652699546641,4.6726793357665314e-27,4.786741722232812,3.1806169427388595e-25,DEPTOR,protein-coding
ENSG00000165164,-0.8109842275568716,0.06851902733892018,0.9314809726610798,4.571531334115481e-27,0.2194822565967486,3.1251223643687286e-25,CFAP47,protein-coding
ENSG00000196872,0.8616996186273203,0.9314122819068553,0.9314122819068553,4.9872890655369755e-27,4.068003340006313,3.380320861100976e-25,CRACDL,protein-coding
ENSG00000141391,1.1342368317855274,0.9313779365297431,0.9313779365297431,5.033915566298724e-27,2.127448907132194,3.397466404237546e-25,PRELID3A,protein-coding
ENSG00000080493,-3.098878552799109,0.0687937903558181,0.9312062096441819,5.273611228267221e-27,3.2813149256496135,3.5293310774722813e-25,SLC4A4,protein-coding
ENSG00000086991,1.4113525699111582,0.9311375188899574,0.9311375188899574,5.372627969940288e-27,2.284819939400956,3.5805530671635523e-25,NOX4,protein-coding
ENSG00000250305,-1.74261369194807,0.06899986261849154,0.9310001373815084,5.5762249866232075e-27,4.702039627614895,3.7007546494556015e-25,TRMT9B,protein-coding
ENSG00000184908,-2.269034348001174,0.0690342079956038,0.9309657920043962,5.6283082777469134e-27,2.0325541225261947,3.7198213380893296e-25,CLCNKB,protein-coding
ENSG00000173805,-1.7531869894308485,0.06917158950405275,0.9308284104959472,5.841509235522239e-27,0.9927445174596377,3.84477516956191e-25,HAP1,protein-coding
ENSG00000132535,1.2983468106376979,0.9307597197417228,0.9307597197417228,5.951093373173424e-27,4.57152068459232,3.9007825204899713e-25,DLG4,protein-coding
ENSG00000158825,1.1042356610172852,0.9307253743646106,0.9307253743646106,6.0066473900065846e-27,1.9678718223077254,3.921060640492823e-25,CDA,protein-coding
ENSG00000100012,-0.8194882156860764,0.0692917983239456,0.9307082016760544,1.8385190907239117e-27,0.12844437123578678,1.4146827090362542e-25,SEC14L3,protein-coding
ENSG00000106683,0.9471084162354932,0.9306910289874983,0.9306910289874983,6.062715591458952e-27,5.65601174326894,3.941507507786048e-25,LIMK1,protein-coding
