patient,cna,PHLDA3,cat
TCGA-DJ-A2Q4,0,5.951543120232154,Diploid
TCGA-DJ-A2Q5,0,5.42648061706418,Diploid
TCGA-DJ-A2Q6,0,4.885336561185896,Diploid
TCGA-DJ-A2Q7,0,5.956243198459992,Diploid
TCGA-DJ-A2Q9,0,6.434190964709728,Diploid
TCGA-DJ-A2QA,0,6.122979384276791,Diploid
TCGA-DJ-A2QB,0,4.8140254884929226,Diploid
TCGA-DJ-A2QC,0,6.164763168078775,Diploid
TCGA-DJ-A3UK,0,4.968342649742272,Diploid
TCGA-DJ-A3UM,0,5.833307703309733,Diploid
TCGA-DJ-A3UN,0,5.259968255423997,Diploid
TCGA-DJ-A3UO,0,5.801955072611964,Diploid
TCGA-DJ-A3UP,0,5.3017962962334,Diploid
TCGA-DJ-A3UQ,0,5.799717154291956,Diploid
TCGA-DJ-A3UR,0,5.526132822498826,Diploid
TCGA-DJ-A3US,0,5.049580737035168,Diploid
TCGA-DJ-A3UT,0,5.206199943213304,Diploid
TCGA-DJ-A3UU,0,5.191073290498634,Diploid
TCGA-DJ-A3UW,0,5.9204414475136415,Diploid
TCGA-DJ-A3UX,0,5.027243797661337,Diploid
TCGA-DJ-A3UY,0,5.677477554697534,Diploid
TCGA-DJ-A3UZ,0,5.054514383621087,Diploid
TCGA-DJ-A3V0,0,6.3059984735866035,Diploid
TCGA-DJ-A3V2,0,5.32439627652005,Diploid
TCGA-DJ-A3V3,0,5.957988509398223,Diploid
TCGA-DJ-A3V4,0,5.58202173699366,Diploid
TCGA-DJ-A3V5,0,5.869492507593162,Diploid
TCGA-DJ-A3V7,0,5.989284391751089,Diploid
TCGA-DJ-A3V8,0,5.889338352889545,Diploid
TCGA-DJ-A3V9,0,5.772453178456683,Diploid
TCGA-DJ-A3VA,0,5.966561926666889,Diploid
TCGA-DJ-A3VB,0,6.80736673973119,Diploid
TCGA-DJ-A3VD,0,5.333524294362688,Diploid
TCGA-DJ-A3VE,0,6.208224627477032,Diploid
TCGA-DJ-A3VF,0,5.89117383343315,Diploid
TCGA-DJ-A3VG,0,5.253933248329675,Diploid
TCGA-DJ-A3VI,0,6.06502597452902,Diploid
TCGA-DJ-A3VJ,0,6.172705332967166,Diploid
TCGA-DJ-A3VK,0,4.979891354204121,Diploid
TCGA-DJ-A3VL,0,5.618057677821985,Diploid
TCGA-DJ-A3VM,0,4.764381103640831,Diploid
TCGA-DJ-A4UL,0,6.108930411423055,Diploid
TCGA-DJ-A4UP,0,5.28466115869733,Diploid
TCGA-DJ-A4UQ,0,5.88764834072406,Diploid
TCGA-DJ-A4UR,0,6.027858318499246,Diploid
TCGA-DJ-A4UT,0,5.866814261272997,Diploid
TCGA-DJ-A4UW,0,5.4821605915499525,Diploid
TCGA-DJ-A4V0,0,4.8646740854812975,Diploid
TCGA-DJ-A4V2,0,6.154644505174457,Diploid
TCGA-DJ-A4V4,0,6.200624034745419,Diploid
TCGA-DJ-A4V5,0,6.170954719018282,Diploid
TCGA-DO-A1JZ,0,6.552652485005714,Diploid
TCGA-DO-A1K0,0,5.268247714479814,Diploid
TCGA-DO-A2HM,1,5.867541605896132,Gain
TCGA-E3-A3DY,0,5.401966281512393,Diploid
TCGA-E3-A3DZ,0,5.6720242992898156,Diploid
TCGA-E3-A3E0,0,5.146629524470725,Diploid
TCGA-E3-A3E1,0,5.867104260893058,Diploid
TCGA-E3-A3E2,0,5.3169175725317315,Diploid
TCGA-E3-A3E3,0,5.627467984184248,Diploid
TCGA-E3-A3E5,0,5.48663412345913,Diploid
TCGA-E8-A242,0,6.6416649879674265,Diploid
TCGA-E8-A2EA,0,5.983693132483743,Diploid
TCGA-E8-A3X7,0,6.367448054680698,Diploid
TCGA-E8-A413,0,6.03866455563081,Diploid
TCGA-E8-A414,0,5.6594762729950805,Diploid
TCGA-E8-A415,0,5.737457853736157,Diploid
TCGA-E8-A416,0,4.687539674247142,Diploid
TCGA-E8-A417,0,5.457539802094704,Diploid
TCGA-E8-A418,0,5.817348665406474,Diploid
TCGA-E8-A419,0,5.792730776003084,Diploid
TCGA-E8-A432,0,5.883790469078135,Diploid
TCGA-E8-A433,0,6.5437055687054135,Diploid
TCGA-E8-A434,0,5.607006286005077,Diploid
TCGA-E8-A436,0,5.996723195160898,Diploid
TCGA-E8-A437,0,6.060322559605847,Diploid
TCGA-E8-A438,0,6.195622736391184,Diploid
TCGA-E8-A44K,0,6.201432239470668,Diploid
TCGA-E8-A44M,0,4.935637689048662,Diploid
TCGA-EL-A3CL,0,6.474238630267208,Diploid
TCGA-EL-A3CM,0,5.6794882138994085,Diploid
TCGA-EL-A3CN,0,5.677193870807759,Diploid
TCGA-EL-A3CO,0,5.225608515542038,Diploid
TCGA-EL-A3CP,0,4.991472997986277,Diploid
TCGA-EL-A3CR,0,6.518692101502338,Diploid
TCGA-EL-A3CS,0,5.087108930545058,Diploid
TCGA-EL-A3CT,0,5.125070113643529,Diploid
TCGA-EL-A3CU,0,5.612690917745992,Diploid
TCGA-EL-A3CV,0,5.487403024748762,Diploid
TCGA-EL-A3CW,0,4.480769483305795,Diploid
TCGA-EL-A3CX,0,6.986738134201914,Diploid
TCGA-EL-A3CY,0,5.312057197220713,Diploid
TCGA-EL-A3CZ,0,4.484626862760746,Diploid
TCGA-EL-A3D1,0,7.11977403167516,Diploid
TCGA-EL-A3D4,0,5.861397513761939,Diploid
TCGA-EL-A3D6,0,5.61787416783048,Diploid
TCGA-EL-A3GO,0,4.845554168543851,Diploid
TCGA-EL-A3GP,1,5.3720592218452605,Gain
TCGA-EL-A3GQ,0,4.262088361013935,Diploid
TCGA-EL-A3GR,0,5.391293762489444,Diploid
TCGA-EL-A3GS,0,5.849172158336253,Diploid
TCGA-EL-A3GU,1,5.962752524904882,Gain
TCGA-EL-A3GV,0,5.188792796750139,Diploid
TCGA-EL-A3GW,0,6.0593990375742415,Diploid
TCGA-EL-A3GX,0,6.006751631488746,Diploid
TCGA-EL-A3GY,0,5.674753193563879,Diploid
TCGA-EL-A3GZ,0,5.283691046635725,Diploid
TCGA-EL-A3H1,0,4.911510564991306,Diploid
TCGA-EL-A3H2,0,5.101172879497705,Diploid
TCGA-EL-A3H3,0,5.910456865963408,Diploid
TCGA-EL-A3H4,0,5.009533933927664,Diploid
