"drug","rho","p","n","fdr"
"JAK_8517_1739",0.216986558047042,3.82427573710711e-09,726,8.50793928030571e-09
"AZD4547_1786",0.199343351240897,3.70088442134866e-08,753,7.11432150900033e-08
"Ibrutinib_1799",0.0584213636583417,0.116770477204455,722,0.137622348133822
"Zoledronate_1802",0.322607545227579,4.76370753485075e-19,726,9.43214091900449e-18
"Acetalax_1804",-0.00382411429364382,0.918053191229181,726,0.941836952659989
"Oxaliplatin_1806",0.211998825578401,8.72901979838964e-09,726,1.83866587242675e-08
"Carmustine_1807",0.255410810401863,3.38884269215697e-12,726,1.19819795186979e-11
"Topotecan_1808",0.152960322503384,3.56703326631711e-05,726,5.35054989947566e-05
"Teniposide_1809",0.258296971082024,1.90275480010373e-12,726,7.10840472491583e-12
"Mitoxantrone_1810",0.195301905926321,1.2003442519943e-07,726,2.12203715977564e-07
"Dactinomycin_1811",0.148047414332099,6.33564874461008e-05,726,9.22395920171173e-05
"Fludarabine_1813",0.182757138942778,7.46684005373312e-07,726,1.23202860886596e-06
"Nelarabine_1814",0.297831873524906,3.41302161606368e-16,725,2.59914723069465e-15
"Fulvestrant_1816",0.316235500538407,2.98422275928786e-18,726,4.22054361670712e-17
"Vincristine_1818",0.306959922119191,4.65612943924549e-17,720,4.39006489986004e-16
"Docetaxel_1819",0.22739120001417,3.1684860820382e-09,667,7.12909368458594e-09
"Podophyllotoxin bromide_1825",0.2878788166252,3.3460794052452e-15,726,2.20841240746184e-14
"Dihydrorotenone_1827",0.226516775769975,7.89227364043553e-10,724,1.90569534244663e-09
"Gallibiscoquinazole_1830",0.272158501444311,1.07608997247672e-13,726,5.07299558453311e-13
"Elephantin_1835",0.241632728260559,4.8400651706491e-11,726,1.4743583135208e-10
"Sinularin_1838",0.203598684930046,3.35296814702426e-08,726,6.61939901568247e-08
"Sabutoclax_1849",0.202263572828336,4.31260880525298e-08,724,8.13234803276276e-08
"LY2109761_1852",0.227488772239433,6.30736408595937e-10,726,1.54180010990118e-09
"OF-1_1853",0.266180334866954,3.79194501539419e-13,726,1.70637525692738e-12
"MN-64_1854",0.178189752191555,1.4100967196218e-06,726,2.26991179256193e-06
"KRAS (G12C) Inhibitor-12_1855",0.263254817735334,6.94312636759445e-13,726,2.92497663996532e-12
"MG-132_1862",0.107228881326736,0.00292100373254324,769,0.00401638013224695
"BDP-00009066_1866",0.184921615165473,3.46037239397275e-07,749,5.95785855657917e-07
"Buparlisib_1873",0.201975453902887,2.64372340399601e-08,749,5.28744680799202e-08
"Ulixertinib_1908",0.0319194362536858,0.382943047468007,749,0.423590633512098
"Venetoclax_1909",0.320744619018143,1.66490884564005e-19,753,3.66279946040812e-18
"ABT737_1910",0.240002469342038,3.38250347491812e-11,748,1.04646201255279e-10
"Dactinomycin_1911",0.0895161472114986,0.0150847436542508,737,0.0195214329643246
"Afuresertib_1912",0.183622246638468,4.47521241139871e-07,748,7.63872463324952e-07
"AGI-5198_1913",0.246845119696137,8.66436514116167e-12,749,2.95783499646554e-11
"AZD3759_1915",0.0311962911639457,0.391297136298448,757,0.430426849928293
"AZD5363_1916",0.157565796517037,1.47676441667845e-05,749,2.28436995704947e-05
"AZD6738_1917",0.215930802567416,2.60338337337768e-09,749,5.99383613870675e-09
"AZD8186_1918",-0.00396959942289969,0.913632046836184,749,0.941836952659989
"Osimertinib_1919",-0.00238641182896268,0.948000972554653,749,0.967547384359903
"Cediranib_1922",0.1160616579682,0.00147279257197476,749,0.0020681768031986
"Ipatasertib_1924",0.147472408844591,5.1859407954836e-05,749,7.60604650004261e-05
"GDC0810_1925",0.252946145663023,2.55443611164442e-12,749,9.1959700019199e-12
"GNE-317_1926",0.0651215278197525,0.0776726956054172,735,0.0932072347265007
"GSK2578215A_1927",0.257982165168531,9.09600111301047e-13,749,3.67552698035933e-12
"I-BRD9_1928",0.300054832468246,6.30183581359372e-17,749,5.42505865691981e-16
"Telomerase Inhibitor IX_1930",0.196549238556935,6.24126991305078e-08,749,1.13373526860923e-07
"MIRA-1_1931",0.324817962186795,7.71344252343596e-20,748,2.18180231377189e-18
"NVP-ADW742_1932",0.2168654676824,2.21648137275745e-09,749,5.16309778595266e-09
"P22077_1933",0.22776544840536,3.21971347872465e-10,749,8.27926323100625e-10
"Savolitinib_1936",0.19538241640946,7.63567530604531e-08,748,1.37442155508816e-07
"UMI-77_1939",0.171667092665443,2.38001276582702e-06,749,3.76994022107e-06
"WIKI4_1940",0.0833477774932434,0.0226505855555592,748,0.0285657066242084
"Sepantronium bromide_1941",0.101868102211148,0.00527988216669783,749,0.00701621925507498
"MIM1_1996",0.257117213376246,8.96906800653274e-13,749,3.67552698035933e-12
"WEHI-539_1997",0.175924605356161,1.32103518460472e-06,749,2.14397513566996e-06
"BPD-00008900_1998",0.24466338719005,1.33059700090673e-11,749,4.31898698654971e-11
"Foretinib_2040",0.215465466113857,2.96001573388798e-09,747,6.73658753229678e-09
"BIBR-1532_2043",0.244531350657682,1.49966150472742e-11,746,4.78924157961338e-11
"Pyridostatin_2044",0.26235872077146,3.91324445765215e-13,747,1.72182756136695e-12
"AMG-319_2045",0.304466949521215,2.62209099835595e-17,744,2.59587008837239e-16
"MK-8776_2046",0.301169555780384,5.50080708168077e-17,746,4.95072637351269e-16
"Ulixertinib_2047",0.123846397700126,0.000704857212804268,746,0.00100404120960608
"Vinorelbine_2048",0.290958085359774,6.72418711377382e-16,746,4.7549608875972e-15
"VX-11e_2096",0.0407694081958816,0.266980838724211,743,0.303805781996516
"Uprosertib_2106",0.143184051544238,9.22972376216944e-05,742,0.000133393087949602
"LJI308_2107",0.236538709314644,7.56117106242543e-11,743,2.13873124337176e-10
"AZ6102_2109",0.0928590620535893,0.0113522751673423,743,0.0148857647889654
"GSK591_2110",0.238952992754444,4.9440209272528e-11,742,1.48320627817584e-10
"VE821_2111",0.271678558967536,6.66733098036667e-14,741,3.3003288352815e-13
"AZD6482_2169",0.126156336725254,0.396916176533256,47,0.434195596428645
"AT13148_2170",0.229341571859157,2.92893161556485e-10,742,7.63063763002422e-10
"BMS-754807_2171",-0.00310077519379845,0.984356862086761,44,0.989353597427303
"JQ1_2172",0.0822155411655874,0.581637720522936,47,0.619195940277802
