term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-2.1754049632506156,0.8697555930883776,-2.5011681218698048,0.012378440014184176,-3.88009460105611,-0.4707153254451213
PHLDA3,0.4961028408336803,0.14869866651659538,3.336296501208457,0.000849025607503192,0.2046588099120213,0.7875468717553393
age,-0.022983099733382466,0.006717742277491865,-3.421253567644073,0.0006233318636031627,-0.036149632654688596,-0.009816566812076332
T34,1.0804766768344318,0.2117240938418386,5.103229666631922,3.3390536599609134e-07,0.6655050782450496,1.495448275423814
