Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,nlogq
GO_Biological_Process_2021,regulation of cellular localization,4/49,0.0061871910920056,0.1202994061806462,0,0,5.902402402402402,30.015333928120945,GSN;STXBP2;DVL1;MAD1L1,0.9197365164099899
GO_Biological_Process_2021,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,3/26,0.0067291134904304,0.1281930105348676,0,0,8.64163372859025,43.21950533477675,SFN;BID;BBC3,0.8921356532016697
GO_Biological_Process_2021,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,3/26,0.0067291134904304,0.1281930105348676,0,0,8.64163372859025,43.21950533477675,SFN;BID;BBC3,0.8921356532016697
GO_Biological_Process_2021,regulation of protein localization to plasma membrane,5/80,0.0070658206306366,0.133261377093808,0,0,4.435028248587571,21.96441582173511,VAMP8;LGALS3;ITGA3;RHOG;BCL2L1,0.8752957031408846
GO_Biological_Process_2021,regulation of vesicle fusion,2/9,0.0075302797509214,0.1352581677165518,0,0,18.88111217641419,92.30641710389764,ANXA2;SPHK1,0.8688365000688947
GO_Biological_Process_2021,hepoxilin biosynthetic process,2/9,0.0075302797509214,0.1352581677165518,0,0,18.88111217641419,92.30641710389764,ALOX5;ALOX15B,0.8688365000688947
GO_Biological_Process_2021,hepoxilin metabolic process,2/9,0.0075302797509214,0.1352581677165518,0,0,18.88111217641419,92.30641710389764,ALOX5;ALOX15B,0.8688365000688947
GO_Biological_Process_2021,mesodermal cell differentiation,2/9,0.0075302797509214,0.1352581677165518,0,0,18.88111217641419,92.30641710389764,ITGA3;ITGB4,0.8688365000688947
GO_Biological_Process_2021,negative regulation of membrane potential,2/9,0.0075302797509214,0.1352581677165518,0,0,18.88111217641419,92.30641710389764,PIP5KL1;BAX,0.8688365000688947
GO_Biological_Process_2021,positive regulation of cytoskeleton organization,5/82,0.0078288550307321,0.138212027200747,0,0,4.319392471934845,20.948790041302946,PYCARD;VASP;CDC42EP5;CDC42EP1;PFN1,0.8594541630425517
GO_Biological_Process_2021,cellular macromolecule biosynthetic process,11/314,0.0081056897206768,0.138212027200747,0,0,2.43661424966026,11.73275820346376,RPS9;RPS19;RPS8;RPLP1;RPL36;RPLP2;RPL13;RPS20;RPS2;RPL8;RPL28,0.8594541630425517
GO_Biological_Process_2021,regulation of protein-containing complex assembly,6/116,0.0081224666999893,0.138212027200747,0,0,3.6345083487940633,17.493329876273013,LGALS3;GSN;BAX;RHOC;BID;LCMT1,0.8594541630425517
GO_Biological_Process_2021,tumor necrosis factor-mediated signaling pathway,6/116,0.0081224666999893,0.138212027200747,0,0,3.6345083487940633,17.493329876273013,PYCARD;PSMD4;TNFRSF12A;TMSB4X;PSMB8;TNFRSF1A,0.8594541630425517
GO_Biological_Process_2021,positive regulation of plasma membrane bounded cell projection assembly,5/83,0.0082310540846295,0.138212027200747,0,0,4.263798348544111,20.465554956966187,CDC42EP5;TWF2;CDC42EP1;KCTD17;PFN1,0.8594541630425517
GO_Biological_Process_2021,positive regulation of fibroblast proliferation,3/28,0.0082940733745661,0.138212027200747,0,0,7.94949494949495,38.09568155028029,CDKN1A;SPHK1;S100A6,0.8594541630425517
GO_Biological_Process_2021,protein depolymerization,3/28,0.0082940733745661,0.138212027200747,0,0,7.94949494949495,38.09568155028029,GSN;CFL1;TWF2,0.8594541630425517
GO_Biological_Process_2021,apoptotic process,9/231,0.0083518928063185,0.138212027200747,0,0,2.7135692393424353,12.985153556883958,PYCARD;PLK3;TNFRSF10B;BAX;BID;PHLDA2;ALOX15B;BBC3;BCL2L1,0.8594541630425517
GO_Biological_Process_2021,negative regulation of Wnt signaling pathway,8/191,0.008354279480851,0.138212027200747,0,0,2.9219252938094167,13.981358062486636,PSMD4;MDK;NXN;DVL1;TAX1BP3;IGFBP6;LZTS2;PSMB8,0.8594541630425517
GO_Biological_Process_2021,regulation of proteolysis,4/54,0.0087131502676783,0.1406224192013959,0,0,5.3108108108108105,25.18876073939934,CST3;CSTB;PERP;PLAUR,0.851945434940137
GO_Biological_Process_2021,unsaturated fatty acid metabolic process,4/54,0.0087131502676783,0.1406224192013959,0,0,5.3108108108108105,25.18876073939934,GPX1;GPX4;ALOX5;ALOX15B,0.851945434940137
GO_Biological_Process_2021,positive regulation of protein-containing complex assembly,6/118,0.0088007633208948,0.1406224192013959,0,0,3.5692419825072887,16.892925414547587,LGALS3;BAX;CAPG;RHOC;BID;DDB2,0.851945434940137
GO_Biological_Process_2021,actin filament polymerization,3/29,0.0091499308270843,0.1406224192013959,0,0,7.643356643356643,35.87798456537077,GSN;MICALL2;ANG,0.851945434940137
GO_Biological_Process_2021,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,3/29,0.0091499308270843,0.1406224192013959,0,0,7.643356643356643,35.87798456537077,TNFRSF10B;BAX;BBC3,0.851945434940137
GO_Biological_Process_2021,positive regulation of extrinsic apoptotic signaling pathway,3/29,0.0091499308270843,0.1406224192013959,0,0,7.643356643356643,35.87798456537077,PYCARD;TNFRSF12A;BID,0.851945434940137
GO_Biological_Process_2021,cellular response to purine-containing compound,2/10,0.0093201497349811,0.1406224192013959,0,0,16.52013422818792,77.24115276893271,RYR1;P2RY6,0.851945434940137
GO_Biological_Process_2021,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",2/10,0.0093201497349811,0.1406224192013959,0,0,16.52013422818792,77.24115276893271,MUC1;RPS27L,0.851945434940137
GO_Biological_Process_2021,regulation of podosome assembly,2/10,0.0093201497349811,0.1406224192013959,0,0,16.52013422818792,77.24115276893271,GSN;CAPG,0.851945434940137
GO_Biological_Process_2021,negative regulation of extracellular matrix organization,2/10,0.0093201497349811,0.1406224192013959,0,0,16.52013422818792,77.24115276893271,CST3;TNFRSF1A,0.851945434940137
GO_Biological_Process_2021,pinocytosis,2/10,0.0093201497349811,0.1406224192013959,0,0,16.52013422818792,77.24115276893271,PYCARD;RAB34,0.851945434940137
GO_Biological_Process_2021,cytoskeleton organization,6/120,0.0095186998538882,0.1424783168605805,0,0,3.506265664160401,16.319903048259874,MDK;CFL1;RHOG;RHOC;WTIP;SIPA1,0.8462512239664846
GO_Biological_Process_2021,positive regulation of establishment of protein localization to mitochondrion,4/56,0.009886991535113,0.1468257168127809,0,0,5.106029106029106,23.57216397962363,MICALL2;SFN;BID;BBC3,0.8331978702256804
GO_Biological_Process_2021,fatty acid metabolic process,6/124,0.0110782555069048,0.1587512114548225,0,0,3.3867173988239365,15.249613075851109,ACOT7;GPX1;GPX4;LIPH;ALOX5;ALOX15B,0.7992829518555962
GO_Biological_Process_2021,regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,2/11,0.0112792483218166,0.1587512114548225,0,0,14.683818046234151,65.85385022173678,GSN;PLAUR,0.7992829518555962
GO_Biological_Process_2021,regulation of melanin biosynthetic process,2/11,0.0112792483218166,0.1587512114548225,0,0,14.683818046234151,65.85385022173678,CDH3;GIPC1,0.7992829518555962
