sample,grp,celltype,PHLDA3,p53
PTC01,PTC,Endothelial cell,0.0,0.38278907401573276
PTC01,PTC,Malignant cell,1.347603271291527,0.3058413120444439
PTC01,PTC,Fibroblast,0.0,0.3128922170833095
PTC01,PTC,Malignant cell,0.5338100116676586,0.2419944949018688
PTC01,PTC,Fibroblast,0.0,0.3149479472792634
PTC01,PTC,Malignant cell,0.9687014141736079,0.327487430016214
PTC01,PTC,Malignant cell,0.0,0.26354252311023507
PTC01,PTC,Malignant cell,0.9413646076703833,0.3192777157960809
PTC01,PTC,T cell,0.0,0.20716415226891438
PTC01,PTC,Malignant cell,0.0,0.2684485982141231
PTC01,PTC,Malignant cell,2.2380689054987575,0.12433716141659763
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Endothelial cell,0.0,0.0
PTC01,PTC,Endothelial cell,0.0,0.29585976734250896
PTC01,PTC,Malignant cell,0.0,0.25915218381684146
PTC01,PTC,T cell,0.0,0.3352047554094583
PTC01,PTC,Fibroblast,1.5490797055431103,0.29082879162872977
PTC01,PTC,Malignant cell,0.7874985875199713,0.3276227348784853
PTC01,PTC,Malignant cell,0.0,0.1985028409208096
PTC01,PTC,Endothelial cell,0.0,0.14778392993406061
PTC01,PTC,Malignant cell,0.46953535482837505,0.40127439609490767
PTC01,PTC,Malignant cell,0.5331543225457566,0.2120841435489278
PTC01,PTC,Malignant cell,1.5434113505943992,0.2597279678715647
PTC01,PTC,Malignant cell,1.0967490994147089,0.30043897420059135
PTC01,PTC,Endothelial cell,0.0,0.15766254507441504
PTC01,PTC,Malignant cell,0.0,0.12995685369540871
PTC01,PTC,Malignant cell,0.0,0.222771416858108
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.12467092754577012
PTC01,PTC,Myeloid cell,0.0,0.16721949238358344
PTC01,PTC,Malignant cell,0.0,0.29321672856628606
PTC01,PTC,Myeloid cell,0.0,0.24289708716932518
PTC01,PTC,Endothelial cell,0.0,0.1284241626952202
PTC01,PTC,Malignant cell,0.0,0.47569761498545887
PTC01,PTC,Malignant cell,0.0,0.34645567911431663
PTC01,PTC,Myeloid cell,0.0,0.5448081788678346
PTC01,PTC,Myeloid cell,0.0,0.24251442537252896
PTC01,PTC,Malignant cell,0.0,0.16477400128028183
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,T cell,0.0,0.3079821062814201
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Myeloid cell,0.0,0.07703302423004983
PTC01,PTC,Myeloid cell,0.0,0.6214374870408519
PTC01,PTC,Malignant cell,0.8693372121037919,0.5061662139187675
PTC01,PTC,Malignant cell,0.0,0.2579606140244956
PTC01,PTC,Malignant cell,0.0,0.126771093535698
PTC01,PTC,Malignant cell,0.0,0.35830475108900495
PTC01,PTC,Malignant cell,0.0,0.240384983665345
PTC01,PTC,Malignant cell,1.784711054957088,0.4060886478782448
